,CCN,S_005_01_DTC_RS_RATE _97_5,S_004_01_PPR_PD_OBS_READM,S_004_01_PPR_PD_RSRR_97_5,S_004_01_PPR_PD_RSRR_2_5,S_013_01_DENOMINATOR,S_002_01_NUMERATOR,S_013_01_NUMERATOR,S_005_01_DTC_OBS_RATE,S_005_01_DTC_RS_RATE_2_5,S_005_01_DTC_NUMBER,S_001_01_DENOMINATOR,S_002_01_ADJ_RATE,S_002_01_OBS_RATE,S_004_01_PPR_PD_VOLUME,S_005_01_DTC_VOLUME,S_013_01_OBS_RATE,S_001_01_OBS_RATE,S_002_01_DENOMINATOR,S_001_01_NUMERATOR,S_004_01_PPR_PD_RSRR,S_004_01_PPR_PD_OBS,S_006_01_MSPB_NUMB,S_006_01_MSPB_SCORE,S_004_01_PPR_PD_COMP_PERF,S_005_01_DTC_RS_RATE,S_005_01_DTC_COMP_PERF
4120,105372,38.93,Not Available,Not Available,Not Available,138,0,1,21.43,38.25,15,138,0,0,Not Available,70,0.7,100,138,138,Not Available,Not Available,58,0.94,Not Available,38.59,Worse than the National Rate
4121,105373,62.22,Not Available,Not Available,Not Available,140,3,3,55.56,61.3,30,140,2.4,2.2,Not Available,54,2.1,96.4,139,135,Not Available,Not Available,64,1.33,Not Available,61.75,Better than the National Rate
4122,105374,65.1,Not Available,Not Available,Not Available,388,1,2,65.32,64.31,226,388,0.3,0.3,Not Available,346,0.5,97.4,387,378,Not Available,Not Available,300,0.8,Not Available,64.7,Better than the National Rate
4123,105375,49.97,Not Available,Not Available,Not Available,231,6,0,35.46,49.24,50,231,2.5,2.6,Not Available,141,0,97.8,231,226,Not Available,Not Available,142,1.14,Not Available,49.61,Better than the National Rate
4124,105376,56.19,Not Available,Not Available,Not Available,106,2,1,43.48,55.43,40,106,2.2,1.9,Not Available,92,0.9,99.1,106,105,Not Available,Not Available,83,0.96,Not Available,55.8,Better than the National Rate
4125,105377,47.36,Not Available,Not Available,Not Available,122,3,0,38.03,46.81,27,122,2.3,2.5,Not Available,71,0,100,122,122,Not Available,Not Available,79,1.5,Not Available,47.08,Worse than the National Rate
4126,105378,70.43,Not Available,Not Available,Not Available,180,0,0,60.78,69.43,93,180,0,0,Not Available,153,0,78.3,180,141,Not Available,Not Available,137,1.03,Not Available,69.92,Better than the National Rate
4127,105379,41.25,Not Available,Not Available,Not Available,125,2,1,32.86,40.69,23,125,1.6,1.6,Not Available,70,0.8,97.6,125,122,Not Available,Not Available,80,1.23,Not Available,40.98,Worse than the National Rate
4128,105381,55.21,Not Available,Not Available,Not Available,67,2,1,37.84,54.32,14,67,2.4,3,Not Available,37,1.5,85.1,67,57,Not Available,Not Available,43,1.51,Not Available,54.76,Better than the National Rate
4129,105382,42.73,Not Available,Not Available,Not Available,174,2,0,33.7,42.2,31,174,1,1.2,Not Available,92,0,97.7,173,170,Not Available,Not Available,90,1.17,Not Available,42.46,Worse than the National Rate
4130,105384,60.65,Not Available,Not Available,Not Available,251,0,2,55.79,59.87,106,252,0,0,Not Available,190,0.8,99.6,252,251,Not Available,Not Available,184,1.34,Not Available,60.27,Better than the National Rate
4131,105385,53.34,Not Available,Not Available,Not Available,132,0,0,46.99,52.63,39,132,0,0,Not Available,83,0,100,132,132,Not Available,Not Available,82,1.36,Not Available,52.99,Better than the National Rate
4132,105387,51.47,Not Available,Not Available,Not Available,124,3,1,36.84,50.7,35,124,2.3,2.4,Not Available,95,0.8,95.2,124,118,Not Available,Not Available,84,0.93,Not Available,51.08,Better than the National Rate
4133,105389,36.36,Not Available,Not Available,Not Available,107,0,0,24.32,35.91,18,107,0,0,Not Available,74,0,98.1,107,105,Not Available,Not Available,75,1.26,Not Available,36.13,Worse than the National Rate
4134,105390,11.4,Not Available,Not Available,Not Available,197,2,3,1.75,10.99,2,197,0.8,1,Not Available,114,1.5,99,197,195,Not Available,Not Available,120,1.56,Not Available,11.2,Worse than the National Rate
4135,105391,24.96,Not Available,Not Available,Not Available,169,1,2,14.77,24.62,13,169,0.6,0.6,Not Available,88,1.2,100,169,169,Not Available,Not Available,96,0.97,Not Available,24.78,Worse than the National Rate
4136,105392,20.07,Not Available,Not Available,Not Available,15,Not Available,Not Available,2.22,19.46,1,15,Not Available,Not Available,Not Available,45,Not Available,Not Available,15,Not Available,Not Available,Not Available,32,0.92,Not Available,19.76,Worse than the National Rate
4137,105393,60.77,Not Available,Not Available,Not Available,325,7,2,52.07,59.99,126,325,2.3,2.2,Not Available,242,0.6,96.9,325,315,Not Available,Not Available,215,1.2,Not Available,60.39,Better than the National Rate
4138,345371,43.62,Not Available,Not Available,Not Available,154,4,1,31.07,43.03,32,154,2.3,2.6,Not Available,103,0.6,98.7,154,152,Not Available,Not Available,97,0.87,Not Available,43.35,Worse than the National Rate
4139,345372,54.91,Not Available,Not Available,Not Available,228,14,0,44.71,54.21,76,228,6.8,6.1,Not Available,170,0,98.7,228,225,Not Available,Not Available,157,1.15,Not Available,54.56,Better than the National Rate
4140,345373,42.84,Not Available,Not Available,Not Available,57,1,0,39.62,42.31,21,57,2.1,1.8,Not Available,53,0,91.2,57,52,Not Available,Not Available,53,1.26,Not Available,42.58,Worse than the National Rate
4141,345375,32.01,Not Available,Not Available,Not Available,42,1,0,16.28,31.56,7,42,2.2,2.4,Not Available,43,0,92.9,42,39,Not Available,Not Available,34,1.24,Not Available,31.79,Worse than the National Rate
4142,345376,43.03,Not Available,Not Available,Not Available,71,5,1,23.33,42.44,14,72,7,7.4,Not Available,60,1.4,98.6,68,71,Not Available,Not Available,57,1.02,Not Available,42.74,Worse than the National Rate
4143,345377,48.15,Not Available,Not Available,Not Available,118,4,1,35.05,47.47,34,118,3.7,3.4,Not Available,97,0.8,100,118,118,Not Available,Not Available,89,0.87,Not Available,47.82,Worse than the National Rate
4144,345378,57.35,Not Available,Not Available,Not Available,175,5,0,47.83,56.62,66,175,2.6,2.9,Not Available,138,0,99.4,175,174,Not Available,Not Available,126,0.73,Not Available,56.98,Better than the National Rate
4145,345380,60.06,Not Available,Not Available,Not Available,451,2,6,54.57,59.3,197,451,0.5,0.4,Not Available,361,1.3,98.2,450,443,Not Available,Not Available,336,0.99,Not Available,59.68,Better than the National Rate
4146,345381,37.54,Not Available,Not Available,Not Available,107,3,0,24.32,37.08,18,107,2.1,2.8,Not Available,74,0,89.7,107,96,Not Available,Not Available,63,1.11,Not Available,37.31,Worse than the National Rate
4147,345383,50.77,Not Available,Not Available,Not Available,291,12,5,43.6,50.1,92,291,4,4.1,Not Available,211,1.7,99.7,291,290,Not Available,Not Available,209,0.91,Not Available,50.45,Better than the National Rate
4148,345384,42.41,Not Available,Not Available,Not Available,113,1,0,32.53,41.75,27,113,0.9,0.9,Not Available,83,0,97.3,111,110,Not Available,Not Available,70,1.02,Not Available,42.09,Worse than the National Rate
4149,345385,50.7,Not Available,Not Available,Not Available,67,3,1,37.5,49.97,18,67,4.5,4.5,Not Available,48,1.5,100,67,67,Not Available,Not Available,47,1.04,Not Available,50.32,Better than the National Rate
4150,345386,70.21,Not Available,Not Available,Not Available,117,0,1,88.41,69.16,61,117,0,0,Not Available,69,0.9,92.3,115,108,Not Available,Not Available,72,0.56,Not Available,69.66,Better than the National Rate
4151,345388,37.98,Not Available,Not Available,Not Available,45,2,1,22.58,37.22,7,45,4.6,4.4,Not Available,31,2.2,100,45,45,Not Available,Not Available,26,1.22,Not Available,37.58,Worse than the National Rate
4152,345389,64.76,Not Available,Not Available,Not Available,213,8,1,51.57,63.78,82,213,4,3.8,Not Available,159,0.5,98.6,213,210,Not Available,Not Available,150,1.22,Not Available,64.3,Better than the National Rate
4153,345390,56.16,Not Available,Not Available,Not Available,45,2,2,50,55.28,16,45,4.6,4.4,Not Available,32,4.4,100,45,45,Not Available,Not Available,35,0.94,Not Available,55.74,Better than the National Rate
4154,345391,54.4,Not Available,Not Available,Not Available,91,1,1,45.24,53.63,38,91,1.1,1.1,Not Available,84,1.1,98.9,91,90,Not Available,Not Available,80,0.85,Not Available,54.02,Better than the National Rate
4155,345392,41.45,Not Available,Not Available,Not Available,90,3,1,29.51,40.86,18,90,3.4,3.3,Not Available,61,1.1,94.4,90,85,Not Available,Not Available,49,1.06,Not Available,41.16,Worse than the National Rate
4156,105394,38.57,Not Available,Not Available,Not Available,115,3,0,24,38.06,12,115,2.7,2.6,Not Available,50,0,79.1,115,91,Not Available,Not Available,50,0.98,Not Available,38.31,Worse than the National Rate
4157,105395,55.74,Not Available,Not Available,Not Available,295,6,0,51.95,55.07,133,295,2.6,2,Not Available,256,0,91.2,295,269,Not Available,Not Available,204,1.17,Not Available,55.4,Better than the National Rate
4158,105396,65.18,Not Available,Not Available,Not Available,653,12,4,82.84,64.28,478,653,2.7,1.8,Not Available,577,0.6,97.4,653,636,Not Available,Not Available,581,0.76,Not Available,64.72,Better than the National Rate
4159,105397,62.67,Not Available,Not Available,Not Available,468,6,3,51.31,61.89,157,468,1.4,1.3,Not Available,306,0.6,100,468,468,Not Available,Not Available,274,1.12,Not Available,62.28,Better than the National Rate
4160,105398,Not Available,Not Available,Not Available,Not Available,48,1,0,Not Available,Not Available,Not Available,48,1.8,2.1,Not Available,23,0,97.9,48,47,Not Available,Not Available,25,1.23,Not Available,Not Available,Not Available
4161,105399,51.24,Not Available,Not Available,Not Available,246,5,2,46.71,50.59,78,246,1.9,2,Not Available,167,0.8,99.6,246,245,Not Available,Not Available,176,1.17,Not Available,50.92,Better than the National Rate
4162,105401,54.28,Not Available,Not Available,Not Available,305,2,2,52.68,53.6,118,305,0.9,0.7,Not Available,224,0.7,99,305,302,Not Available,Not Available,200,1.2,Not Available,53.95,Better than the National Rate
4163,105402,36.18,Not Available,Not Available,Not Available,65,2,4,25.81,35.71,8,65,2.6,3.1,Not Available,31,6.2,100,65,65,Not Available,Not Available,39,1.02,Not Available,35.95,Worse than the National Rate
4164,105404,63.66,Not Available,Not Available,Not Available,209,5,0,59.59,62.83,87,209,2.8,2.4,Not Available,146,0,53.1,209,111,Not Available,Not Available,159,1.04,Not Available,63.25,Better than the National Rate
4165,105407,Not Available,Not Available,Not Available,Not Available,49,2,0,Not Available,Not Available,Not Available,49,4.2,4.1,Not Available,14,0,100,49,49,Not Available,Not Available,20,1.06,Not Available,Not Available,Not Available
4166,105408,17.68,Not Available,Not Available,Not Available,158,6,4,1.92,17.11,1,158,3.1,3.8,Not Available,52,2.5,100,158,158,Not Available,Not Available,69,1.57,Not Available,17.4,Worse than the National Rate
4167,105409,25.25,Not Available,Not Available,Not Available,53,1,0,9.38,24.7,3,53,1.5,1.9,Not Available,32,0,98.1,53,52,Not Available,Not Available,29,1.64,Not Available,24.99,Worse than the National Rate
4168,105410,49.41,Not Available,Not Available,Not Available,307,1,1,41.32,48.81,100,307,0.3,0.3,Not Available,242,0.3,99.7,307,306,Not Available,Not Available,205,1.12,Not Available,49.12,Better than the National Rate
4169,105411,62.18,Not Available,Not Available,Not Available,283,6,2,61.06,61.36,138,283,2,2.1,Not Available,226,0.7,89,283,252,Not Available,Not Available,228,0.88,Not Available,61.78,Better than the National Rate
4170,105412,62.13,Not Available,Not Available,Not Available,405,6,2,56.88,61.39,182,405,1.6,1.5,Not Available,320,0.5,98.8,405,400,Not Available,Not Available,283,1.18,Not Available,61.76,Better than the National Rate
4171,105413,26.32,Not Available,Not Available,Not Available,93,0,1,14.29,25.95,9,93,0,0,Not Available,63,1.1,100,93,93,Not Available,Not Available,51,0.9,Not Available,26.12,Worse than the National Rate
4172,105416,26.05,Not Available,Not Available,Not Available,116,2,1,15.87,25.67,10,116,2.3,1.7,Not Available,63,0.9,100,116,116,Not Available,Not Available,63,1.29,Not Available,25.86,Worse than the National Rate
4173,105417,54.95,Not Available,Not Available,Not Available,102,0,0,35.19,54.05,19,102,0,0,Not Available,54,0,99,102,101,Not Available,Not Available,48,0.93,Not Available,54.51,Better than the National Rate
4174,345393,70.8,Not Available,Not Available,Not Available,291,3,5,63.59,69.91,138,291,1.2,1,Not Available,217,1.7,100,291,291,Not Available,Not Available,222,0.87,Not Available,70.37,Better than the National Rate
4175,345394,56.69,Not Available,Not Available,Not Available,41,0,0,37.25,55.64,19,41,0,0,Not Available,51,0,56.1,41,23,Not Available,Not Available,48,0.88,Not Available,56.14,Better than the National Rate
4176,345395,62.18,Not Available,Not Available,Not Available,255,1,0,56.19,61.36,118,255,0.4,0.4,Not Available,210,0,98.8,255,252,Not Available,Not Available,207,0.97,Not Available,61.78,Better than the National Rate
4177,345396,53.21,Not Available,Not Available,Not Available,143,2,1,56.76,52.53,63,143,2,1.4,Not Available,111,0.7,95.8,143,137,Not Available,Not Available,114,0.97,Not Available,52.88,Better than the National Rate
4178,345397,51.08,Not Available,Not Available,Not Available,179,17,3,43.31,50.43,55,179,8.3,9.5,Not Available,127,1.7,98.3,179,176,Not Available,Not Available,120,1,Not Available,50.75,Better than the National Rate
4179,345400,56.23,Not Available,Not Available,Not Available,107,3,0,50.55,55.49,46,107,3.2,2.8,Not Available,91,0,99.1,107,106,Not Available,Not Available,86,1.37,Not Available,55.87,Better than the National Rate
4180,345401,67.3,Not Available,Not Available,Not Available,233,3,4,61.03,66.42,119,233,1.6,1.3,Not Available,195,1.7,100,233,233,Not Available,Not Available,188,1.27,Not Available,66.88,Better than the National Rate
4181,345403,51.21,Not Available,Not Available,Not Available,249,5,1,40.28,50.48,58,249,2.3,2,Not Available,144,0.4,100,249,249,Not Available,Not Available,138,0.85,Not Available,50.85,Better than the National Rate
4182,345404,59.61,Not Available,Not Available,Not Available,278,5,1,58.37,58.84,150,278,2.1,1.8,Not Available,257,0.4,98.6,278,274,Not Available,Not Available,224,0.8,Not Available,59.24,Better than the National Rate
4183,345405,56.57,Not Available,Not Available,Not Available,189,3,1,39.25,55.68,42,189,1.6,1.6,Not Available,107,0.5,100,187,189,Not Available,Not Available,123,1.07,Not Available,56.15,Better than the National Rate
4184,345406,29.39,Not Available,Not Available,Not Available,49,3,1,16.07,28.94,9,49,6.3,6.1,Not Available,56,2,87.8,49,43,Not Available,Not Available,34,1.1,Not Available,29.17,Worse than the National Rate
4185,345407,Not Available,Not Available,Not Available,Not Available,22,0,0,Not Available,Not Available,Not Available,23,0,0,Not Available,24,0,95.7,23,22,Not Available,Not Available,18,Not Available,Not Available,Not Available,Not Available
4186,345408,70.57,Not Available,Not Available,Not Available,432,6,0,58.73,69.62,185,433,1.4,1.4,Not Available,315,0,97.9,432,424,Not Available,Not Available,295,1.11,Not Available,70.07,Better than the National Rate
4187,345409,40.82,Not Available,Not Available,Not Available,150,3,2,27.71,40.28,23,150,1.8,2.1,Not Available,83,1.3,93.3,143,140,Not Available,Not Available,87,1.02,Not Available,40.55,Worse than the National Rate
4188,345410,33.88,Not Available,Not Available,Not Available,95,3,0,26.83,33.49,22,95,3.6,3.2,Not Available,82,0,100,95,95,Not Available,Not Available,78,1.11,Not Available,33.69,Worse than the National Rate
4189,345411,31.55,Not Available,Not Available,Not Available,76,3,3,17.86,31.16,10,76,4.8,3.9,Not Available,56,3.9,90.8,76,69,Not Available,Not Available,57,1,Not Available,31.35,Worse than the National Rate
4190,345412,50.85,Not Available,Not Available,Not Available,111,4,1,48.57,50.15,51,112,3.7,3.6,Not Available,105,0.9,85.7,112,96,Not Available,Not Available,95,0.73,Not Available,50.52,Better than the National Rate
4191,345413,30.7,Not Available,Not Available,Not Available,68,4,2,21.28,30.32,10,68,6.7,6,Not Available,47,2.9,98.5,67,67,Not Available,Not Available,42,1.04,Not Available,30.52,Worse than the National Rate
4192,105419,39.19,Not Available,Not Available,Not Available,174,3,3,30.43,38.7,28,174,1.6,1.7,Not Available,92,1.7,84.5,174,147,Not Available,Not Available,78,1.12,Not Available,38.94,Worse than the National Rate
4193,105420,65.43,Not Available,Not Available,Not Available,255,2,1,61.69,64.54,124,255,0.8,0.8,Not Available,201,0.4,99.2,254,253,Not Available,Not Available,187,1.13,Not Available,64.99,Better than the National Rate
4194,105421,54.66,Not Available,Not Available,Not Available,375,0,0,48.25,53.94,110,375,0,0,Not Available,228,0,97.3,374,365,Not Available,Not Available,226,1.18,Not Available,54.3,Better than the National Rate
4195,105422,55.38,Not Available,Not Available,Not Available,82,1,1,39.53,54.49,17,82,1,1.2,Not Available,43,1.2,91.5,82,75,Not Available,Not Available,50,0.98,Not Available,54.92,Better than the National Rate
4196,105423,53.27,Not Available,Not Available,Not Available,279,1,2,41.94,52.61,78,279,0.3,0.4,Not Available,186,0.7,98.6,277,275,Not Available,Not Available,181,1.31,Not Available,52.94,Better than the National Rate
4197,105426,37.2,Not Available,Not Available,Not Available,230,3,1,23.44,36.71,30,230,1.2,1.3,Not Available,128,0.4,98.3,230,226,Not Available,Not Available,123,1.47,Not Available,36.96,Worse than the National Rate
4198,105427,43.84,Not Available,Not Available,Not Available,412,5,1,31.43,43.26,77,412,1.1,1.2,Not Available,245,0.2,99.8,412,411,Not Available,Not Available,236,1.17,Not Available,43.55,Worse than the National Rate
4199,105428,30.78,Not Available,Not Available,Not Available,48,0,2,18.75,30.31,6,48,0,0,Not Available,32,4.2,91.7,48,44,Not Available,Not Available,32,0.74,Not Available,30.57,Worse than the National Rate
4200,105429,47.7,Not Available,Not Available,Not Available,106,0,0,30,46.84,18,107,0,0,Not Available,60,0,98.1,106,105,Not Available,Not Available,58,1.06,Not Available,47.24,Worse than the National Rate
4201,105430,35.45,Not Available,Not Available,Not Available,153,0,1,23.73,34.99,14,153,0,0,Not Available,59,0.7,98,153,150,Not Available,Not Available,63,1.51,Not Available,35.21,Worse than the National Rate
4202,105431,28.08,Not Available,Not Available,Not Available,121,4,0,14.29,27.72,8,121,3,3.3,Not Available,56,0,100,121,121,Not Available,Not Available,51,1.53,Not Available,27.89,Worse than the National Rate
4203,105432,17.29,Not Available,Not Available,Not Available,73,2,0,0,16.64,0,73,2.2,2.7,Not Available,34,0,100,73,73,Not Available,Not Available,40,1.28,Not Available,16.98,Worse than the National Rate
4204,105433,28.66,Not Available,Not Available,Not Available,153,3,0,18.11,28.3,23,153,1.9,2,Not Available,127,0,100,153,153,Not Available,Not Available,93,1.1,Not Available,28.48,Worse than the National Rate
4205,105434,50,Not Available,Not Available,Not Available,375,3,3,38.5,49.38,87,375,0.9,0.8,Not Available,226,0.8,95.7,373,359,Not Available,Not Available,203,0.96,Not Available,49.69,Better than the National Rate
4206,105435,48.23,Not Available,Not Available,Not Available,104,0,2,37.04,47.57,20,104,0,0,Not Available,54,1.9,99,104,103,Not Available,Not Available,75,1.77,Not Available,47.9,Worse than the National Rate
4207,105436,63.98,Not Available,Not Available,Not Available,312,2,1,60.36,63.17,134,312,0.7,0.6,Not Available,222,0.3,98.4,312,307,Not Available,Not Available,210,1.1,Not Available,63.6,Better than the National Rate
4208,105437,51.35,Not Available,Not Available,Not Available,266,6,0,44.07,50.65,78,266,2.3,2.3,Not Available,177,0,96.2,266,256,Not Available,Not Available,164,0.9,Not Available,51.02,Better than the National Rate
4209,105438,46.13,Not Available,Not Available,Not Available,173,3,0,39.81,45.57,41,173,2,1.7,Not Available,103,0,98.8,173,171,Not Available,Not Available,96,0.85,Not Available,45.84,Worse than the National Rate
4210,345414,53.62,Not Available,Not Available,Not Available,125,3,4,49.49,52.91,49,125,2.6,2.4,Not Available,99,3.2,89.6,125,112,Not Available,Not Available,88,1,Not Available,53.28,Better than the National Rate
4211,345415,58.64,Not Available,Not Available,Not Available,181,5,2,48.28,57.8,70,181,3.7,2.8,Not Available,145,1.1,97.8,180,177,Not Available,Not Available,130,1.16,Not Available,58.2,Better than the National Rate
4212,345416,84.6,Not Available,Not Available,Not Available,86,2,1,76.27,83.17,45,86,3.5,2.3,Not Available,59,1.2,95.3,86,82,Not Available,Not Available,57,0.85,Not Available,83.87,Better than the National Rate
4213,345417,64.37,Not Available,Not Available,Not Available,255,5,0,63.43,63.53,137,255,1.8,2,Not Available,216,0,98.4,255,251,Not Available,Not Available,204,0.8,Not Available,63.94,Better than the National Rate
4214,345418,45.62,Not Available,Not Available,Not Available,91,2,1,33.33,44.97,18,91,2.4,2.2,Not Available,54,1.1,96.7,91,88,Not Available,Not Available,68,0.96,Not Available,45.29,Worse than the National Rate
4215,345419,58.78,Not Available,Not Available,Not Available,167,2,2,51.26,58.02,61,167,1.3,1.2,Not Available,119,1.2,100,167,167,Not Available,Not Available,111,0.87,Not Available,58.41,Better than the National Rate
4216,345420,53.56,Not Available,Not Available,Not Available,122,4,1,42.39,52.76,39,122,3,3.3,Not Available,92,0.8,99.2,122,121,Not Available,Not Available,84,1.01,Not Available,53.15,Better than the National Rate
4217,345421,51.82,Not Available,Not Available,Not Available,146,1,1,40.87,51.06,47,146,0.9,0.7,Not Available,115,0.7,100,146,146,Not Available,Not Available,88,1.03,Not Available,51.44,Better than the National Rate
4218,345423,63.73,Not Available,Not Available,Not Available,241,5,3,66.06,62.92,144,241,2.4,2.1,Not Available,218,1.2,75.1,237,181,Not Available,Not Available,187,1.04,Not Available,63.33,Better than the National Rate
4219,345425,48.31,Not Available,Not Available,Not Available,54,0,0,45.95,47.69,17,54,0,0,Not Available,37,0,100,54,54,Not Available,Not Available,38,1.09,Not Available,48.01,Worse than the National Rate
4220,345426,59.86,Not Available,Not Available,Not Available,105,3,1,47.56,58.99,39,105,3.9,2.9,Not Available,82,1,100,105,105,Not Available,Not Available,77,0.82,Not Available,59.42,Better than the National Rate
4221,345428,54.11,Not Available,Not Available,Not Available,171,1,1,45.14,53.39,65,171,0.6,0.6,Not Available,144,0.6,93,170,159,Not Available,Not Available,115,1.17,Not Available,53.77,Better than the National Rate
4222,345429,40.03,Not Available,Not Available,Not Available,139,2,1,29.93,39.52,41,139,1.3,1.4,Not Available,137,0.7,100,139,139,Not Available,Not Available,119,0.87,Not Available,39.79,Worse than the National Rate
4223,345431,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available
4224,345432,74.05,Not Available,Not Available,Not Available,28,1,0,65.38,72.65,17,28,3.6,3.6,Not Available,26,0,100,28,28,Not Available,Not Available,21,0.54,Not Available,73.36,Better than the National Rate
4225,345433,46.17,Not Available,Not Available,Not Available,90,3,2,33.75,45.53,27,90,3.9,3.3,Not Available,80,2.2,100,90,90,Not Available,Not Available,72,1.06,Not Available,45.85,Worse than the National Rate
4226,345434,46.97,Not Available,Not Available,Not Available,159,3,3,27.62,46.27,29,159,2.2,1.9,Not Available,105,1.9,91.2,159,145,Not Available,Not Available,95,1.22,Not Available,46.65,Worse than the National Rate
4227,345436,53.22,Not Available,Not Available,Not Available,100,5,1,41.56,52.43,32,100,5,5,Not Available,77,1,100,100,100,Not Available,Not Available,72,0.93,Not Available,52.84,Better than the National Rate
4228,105439,52.03,Not Available,Not Available,Not Available,145,2,2,42.71,51.34,41,145,1.6,1.4,Not Available,96,1.4,95.2,144,138,Not Available,Not Available,101,0.85,Not Available,51.68,Better than the National Rate
4229,105440,33.03,Not Available,Not Available,Not Available,152,2,1,17.33,32.47,13,152,1.1,1.3,Not Available,75,0.7,100,152,152,Not Available,Not Available,75,1.64,Not Available,32.76,Worse than the National Rate
4230,105441,41.85,Not Available,Not Available,Not Available,191,9,1,31.34,41.34,42,191,5.5,4.7,Not Available,134,0.5,90.1,191,172,Not Available,Not Available,130,1.04,Not Available,41.61,Worse than the National Rate
4231,105442,51.94,Not Available,Not Available,Not Available,116,0,1,45.9,51.22,28,116,0,0,Not Available,61,0.9,100,116,116,Not Available,Not Available,70,1.04,Not Available,51.59,Better than the National Rate
4232,105443,45.37,Not Available,Not Available,Not Available,154,9,1,35.64,44.84,36,154,5.9,5.8,Not Available,101,0.6,100,154,154,Not Available,Not Available,90,1.04,Not Available,45.11,Worse than the National Rate
4233,105444,48.98,Not Available,Not Available,Not Available,101,2,0,42.37,48.37,25,101,2.9,2,Not Available,59,0,100,101,101,Not Available,Not Available,63,0.73,Not Available,48.67,No Different than the National Rate
4234,105445,30.52,Not Available,Not Available,Not Available,138,7,2,17.39,30.1,12,138,5.1,5.1,Not Available,69,1.4,100,138,138,Not Available,Not Available,68,1.17,Not Available,30.31,Worse than the National Rate
4235,105447,43.7,Not Available,Not Available,Not Available,151,4,0,31,43.11,31,151,2.5,2.6,Not Available,100,0,100,151,151,Not Available,Not Available,82,1.19,Not Available,43.41,Worse than the National Rate
4236,105448,39.09,Not Available,Not Available,Not Available,104,3,0,29.69,38.56,19,104,3.5,2.9,Not Available,64,0,92.3,103,96,Not Available,Not Available,60,1.18,Not Available,38.82,Worse than the National Rate
4237,105449,21.88,Not Available,Not Available,Not Available,145,1,0,10,21.53,9,145,0.5,0.7,Not Available,90,0,97.9,145,142,Not Available,Not Available,83,1.34,Not Available,21.71,Worse than the National Rate
4238,105451,42.13,Not Available,Not Available,Not Available,155,1,1,32.53,41.58,27,155,0.8,0.6,Not Available,83,0.6,100,155,155,Not Available,Not Available,79,1.41,Not Available,41.85,Worse than the National Rate
4239,105452,65.74,Not Available,Not Available,Not Available,290,1,1,62.5,64.91,145,290,0.4,0.3,Not Available,232,0.3,100,290,290,Not Available,Not Available,209,1.18,Not Available,65.32,Better than the National Rate
4240,105453,29.35,Not Available,Not Available,Not Available,101,4,0,13.51,28.82,5,101,3.8,4,Not Available,37,0,98,101,99,Not Available,Not Available,34,1.7,Not Available,29.08,Worse than the National Rate
4241,105454,47.15,Not Available,Not Available,Not Available,314,4,0,42.7,46.58,76,314,1.4,1.3,Not Available,178,0,100,314,314,Not Available,Not Available,185,1.15,Not Available,46.86,Worse than the National Rate
4242,105455,51.05,Not Available,Not Available,Not Available,425,7,3,43.12,50.43,116,425,1.6,1.6,Not Available,269,0.7,96.2,425,409,Not Available,Not Available,253,1.31,Not Available,50.74,Better than the National Rate
4243,105458,54.41,Not Available,Not Available,Not Available,176,1,0,53.39,53.73,63,176,0.6,0.6,Not Available,118,0,98.3,175,173,Not Available,Not Available,101,0.97,Not Available,54.07,Better than the National Rate
4244,105459,40.39,Not Available,Not Available,Not Available,146,1,2,24.14,39.79,14,146,0.7,0.7,Not Available,58,1.4,100,146,146,Not Available,Not Available,61,1.23,Not Available,40.09,Worse than the National Rate
4245,105460,49.55,Not Available,Not Available,Not Available,348,5,0,39.38,48.91,89,348,1.4,1.4,Not Available,226,0,100,348,348,Not Available,Not Available,216,0.93,Not Available,49.23,Better than the National Rate
4246,345437,39.28,Not Available,Not Available,Not Available,42,0,0,30.3,38.78,10,42,0,0,Not Available,33,0,100,42,42,Not Available,Not Available,44,1.08,Not Available,39.03,Worse than the National Rate
4247,345438,70.39,Not Available,Not Available,Not Available,266,3,0,67.2,69.41,127,266,1.5,1.1,Not Available,189,0,97,266,258,Not Available,Not Available,181,0.79,Not Available,69.9,Better than the National Rate
4248,345439,61.88,Not Available,Not Available,Not Available,158,2,0,56.91,61.03,70,158,1.3,1.3,Not Available,123,0,100,158,158,Not Available,Not Available,118,1.12,Not Available,61.45,Better than the National Rate
4249,345441,23.36,Not Available,Not Available,Not Available,76,2,0,11.32,22.98,6,76,2.3,2.6,Not Available,53,0,98.7,76,75,Not Available,Not Available,56,1.21,Not Available,23.17,Worse than the National Rate
4250,345442,57.91,Not Available,Not Available,Not Available,64,2,0,44,57.07,22,64,3.6,3.1,Not Available,50,0,100,64,64,Not Available,Not Available,47,1.05,Not Available,57.5,Better than the National Rate
4251,345443,62.06,Not Available,Not Available,Not Available,186,2,0,46.53,61.21,67,186,0.9,1.1,Not Available,144,0,94.1,186,175,Not Available,Not Available,134,1.17,Not Available,61.65,Better than the National Rate
