,origin_id,origin_name,origin_zip,origin,destination_id,destination_name,destination_zip,destination,County,DISTANCE
0,395297,HUNTINGDON PARK REHAB CENTER,16652,1229 WARM SPRINGS AVENUE,395697,WOODLAND PARK REHAB CENTER,17243,18889 CROGHAN PIKE,Huntingdon,23.27
1,395297,HUNTINGDON PARK REHAB CENTER,16652,1229 WARM SPRINGS AVENUE,396015,WESTMINSTER WOODS AT HUNTINGDO,16652,360 WESTMINSTER DRIVE,Huntingdon,2.36
2,395697,WOODLAND PARK REHAB CENTER,17243,18889 CROGHAN PIKE,396015,WESTMINSTER WOODS AT HUNTINGDO,16652,360 WESTMINSTER DRIVE,Huntingdon,24.95
